name,parent_id,parent_title,title,begin_date,end_date,restriction_type,uri,rr_id,note_type
Beinecke Rare Book and Manuscript Library,"[""YCAL MSS 611"",null,null,null]",Eve Arnold papers,Audiovisual materials,NULL,NULL,NULL,/repositories/11/archival_objects/680117,38,accessrestrict
Beinecke Rare Book and Manuscript Library,"[""YCAL MSS 938"",null,null,null]",Robert Osborn Papers,"Unidentified drawings and paintings, undated",NULL,NULL,NULL,/repositories/11/archival_objects/763589,48,accessrestrict
Beinecke Rare Book and Manuscript Library,"[""YCAL MSS 938"",null,null,null]",Robert Osborn Papers,October 1991 Acquisition,NULL,NULL,NULL,/repositories/11/archival_objects/763529,51,accessrestrict
Beinecke Rare Book and Manuscript Library,"[""YCAL MSS 938"",null,null,null]",Robert Osborn Papers,February 1996 Acquisition,NULL,NULL,NULL,/repositories/11/archival_objects/763643,54,accessrestrict
Manuscripts and Archives,"[""MS"",""1664"",null,null]",Cyrus R. and Grace Sloane Vance papers,"Audio and Video Tapes, 1963-1980",NULL,NULL,RestrictedCurApprSpecColl,/repositories/12/archival_objects/1521346,297,accessrestrict
Manuscripts and Archives,"[""MS"",""2017"",null,null]",Allen R. Maxwell papers,"Consultation between Maxwell and Kadayan informants, 1968-1971",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2097117,321,accessrestrict
Manuscripts and Archives,"[""RU"",""120"",null,null]","Librarian, Yale University records","Library Associates index cards, 1932-2003",2015-08-07,2038-01-01,NULL,/repositories/12/archival_objects/2104084,345,accessrestrict
Manuscripts and Archives,"[""MS"",""71"",null,null]",Beecher Family Papers,16 mm films,NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/1402446,362,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","NCAA Yale Basketball highlights, February 7, 1991",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104275,363,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Vermont, December 30, 1996",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104276,364,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Vermont vs. Yale, December 10, 1997",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104277,365,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Vermont vs. Yale, December 9, 1998",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104278,366,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Vermont, November 21, 1999",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104279,367,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Pennsylvania, March 4, 2000",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104280,368,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Vermont, December 7, 2000",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104281,369,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Dartmouth, February 15, 2001",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104282,370,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Banquet and recruiting video, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104283,371,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","CBS stories of the 2002 NCAA Division I Men's Basketball Championship, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104284,372,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Dartmouth Men's Basketball, 2002-2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104285,373,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Italy game 2, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104286,374,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Columbia, January 11, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104287,375,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Cornell, January 12, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104288,376,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Brown, January 19, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104289,377,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Brown, January 26, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104290,378,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Dartmouth, February 1, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104291,379,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Harvard, February 2, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104292,380,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Pennsylvania, February 8, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104293,381,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Cornell, February 15, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104294,382,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Columbia, February 16, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104295,383,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Princeton, February 22, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104296,384,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Pennsylvania, February 23, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104297,385,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Harvard, March 1, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104298,386,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Dartmouth, March 2, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104299,387,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Princeton vs. Yale, March 7, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104300,388,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Ivy League Playoff: Lafayette vs. Penn, March 9, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104301,389,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Pennsylvania vs. Yale, March 9, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104302,390,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Bulldogs Coverage, March 19, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104303,391,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Penn State, December 1, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104304,392,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Sacred Heart, December 5, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104305,393,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Central Connecticut State University, December 12, 2002",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104306,394,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","NCAA Division I Men's Basketball Championship, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104307,395,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Saint Mary's College vs. Yale, January 2, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104308,396,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Old Westbury, January 10, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104309,397,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Renssalear, January 11, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104310,398,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Brown, January 16, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104311,399,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Brown, January 24, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104312,400,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Cornell vs. Yale, February 1, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104313,401,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Dartmouth, February 7, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104314,402,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Harvard, February 8, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104315,403,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Princeton vs. Yale, February 15, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104316,404,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Cornell, February 21, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104317,405,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Columbia, February 22, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104318,406,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Pennsylvania, March 1, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104319,407,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Harvard vs. Yale, March 7, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104320,408,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Pennsylvania vs. Yale, March 14, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104321,409,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Blue/White Game, November 1, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104322,410,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","320 All Stars vs. Yale, November 11, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104323,411,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. 320 All Stars, November 11, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104324,412,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Wake Forest vs. Yale, November 29, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104325,413,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Bucknell, November 29, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104326,414,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Sacred Heart, December 4, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104327,415,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Fairfield, December 7, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104328,416,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. St. Peter's , December 11, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104329,417,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Niagra, December 20, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104330,418,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. South Carolina, December 20, 2003",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104331,419,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","2004 NCAA Division I Men's Basketball Championship, 2004",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104332,420,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Practice tape, 2004-2005",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104333,421,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. American, January 3, 2004",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104334,422,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Brown, January 16, 2004",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104335,423,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Yale vs. Brown, January 23, 2004",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104336,424,accessrestrict
Manuscripts and Archives,"[""RU"",""967"",null,null]","Department of Athletics, Yale University, motion pictures documenting basketball","Pennsylvania vs. Yale, January 30, 2004",NULL,NULL,RestrictedFragileSpecColl,/repositories/12/archival_objects/2104337,425,accessrestrict
